name,term,party
George Washington(1732–1799),"April 30, 1789–March 4, 1797",Unaffiliated
John Adams(1735–1826),"March 4, 1797–March 4, 1801",Federalist
Thomas Jefferson(1743–1826),"March 4, 1801–March 4, 1809",Democratic-Republican
James Madison(1751–1836),"March 4, 1809–March 4, 1817",Democratic-Republican
James Monroe(1758–1831),"March 4, 1817–March 4, 1825",Democratic-Republican
John Quincy Adams(1767–1848),"March 4, 1825–March 4, 1829",Democratic-Republican
Andrew Jackson(1767–1845),"March 4, 1829–March 4, 1837",Democratic
Martin Van Buren(1782–1862),"March 4, 1837–March 4, 1841",Democratic
William Henry Harrison(1773–1841),"March 4, 1841–April 4, 1841",Whig
John Tyler(1790–1862),"April 4, 1841–March 4, 1845",Whig
James K. Polk(1795–1849),"March 4, 1845–March 4, 1849",Democratic
Zachary Taylor(1784–1850),"March 4, 1849–July 9, 1850",Whig
Millard Fillmore(1800–1874),"July 9, 1850–March 4, 1853",Whig
Franklin Pierce(1804–1869),"March 4, 1853–March 4, 1857",Democratic
James Buchanan(1791–1868),"March 4, 1857–March 4, 1861",Democratic
Abraham Lincoln(1809–1865),"March 4, 1861–April 15, 1865",Republican
Andrew Johnson(1808–1875),"April 15, 1865–March 4, 1869",National Union
Ulysses S. Grant(1822–1885),"March 4, 1869–March 4, 1877",Republican
Rutherford B. Hayes(1822–1893),"March 4, 1877–March 4, 1881",Republican
James A. Garfield(1831–1881),"March 4, 1881–September 19, 1881",Republican
Chester A. Arthur(1829–1886),"September 19, 1881–March 4, 1885",Republican
Grover Cleveland(1837–1908)1st term,"March 4, 1885–March 4, 1889",Democratic
Benjamin Harrison(1833–1901),"March 4, 1889–March 4, 1893",Republican
Grover Cleveland(1837–1908)2nd term,"March 4, 1893–March 4, 1897",Democratic
William McKinley(1843–1901),"March 4, 1897–September 14, 1901",Republican
Theodore Roosevelt(1858–1919),"September 14, 1901–March 4, 1909",Republican
William Howard Taft(1857–1930),"March 4, 1909–March 4, 1913",Republican
Woodrow Wilson(1856–1924),"March 4, 1913–March 4, 1921",Democratic
Warren G. Harding(1865–1923),"March 4, 1921–August 2, 1923",Republican
Calvin Coolidge(1872–1933),"August 2, 1923–March 4, 1929",Republican
Herbert Hoover(1874–1964),"March 4, 1929–March 4, 1933",Republican
Franklin D. Roosevelt(1882–1945),"March 4, 1933–April 12, 1945",Democratic
Harry S. Truman(1884–1972),"April 12, 1945–January 20, 1953",Democratic
Dwight D. Eisenhower(1890–1969),"January 20, 1953–January 20, 1961",Republican
John F. Kennedy(1917–1963),"January 20, 1961–November 22, 1963",Democratic
Lyndon B. Johnson(1908–1973),"November 22, 1963–January 20, 1969",Democratic
Richard Nixon(1913–1994),"January 20, 1969–August 9, 1974",Republican
Gerald Ford(1913–2006),"August 9, 1974–January 20, 1977",Republican
Jimmy Carter(1924–2024),"January 20, 1977–January 20, 1981",Democratic
Ronald Reagan(1911–2004),"January 20, 1981–January 20, 1989",Republican
George H. W. Bush(1924–2018),"January 20, 1989–January 20, 1993",Republican
Bill Clinton(b.1946),"January 20, 1993–January 20, 2001",Democratic
George W. Bush(b.1946),"January 20, 2001–January 20, 2009",Republican
Barack Obama(b.1961),"January 20, 2009–January 20, 2017",Democratic
Donald Trump(b.1946)1st term,"January 20, 2017–January 20, 2021",Republican
Joe Biden(b.1942),"January 20, 2021–January 20, 2025",Democratic
Donald Trump(b.1946)2nd term,"January 20, 2025–Incumbent",Republican
